序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
,Tips：认真设计你的资料有助于增加个人魅力哦;),Tips:Design your profile carefully can help to increase your charm;),نصائح: تصميم ملف التعريف الخاص بك بعناية يمكن أن يساعد على زيادة السحر الخاص بك ؛),İpucu: Çekiciliğinizi artırmak için profilinizi dikkatlice tasarlayın ;),Kiat. Rancang profil Anda hati-hati dapat membantu meningkatkan daya tarik Anda.),"Внимание:Внимательно проектировать твои данные, таким образом может быть повысить твою личную силу обаяния;)",Tips:프로필 열심히 디자인해서 개인 매력 증가시킴,Sugestão: Desenhe seu perfil com cuidado pode ajudar a aumentar seu charme :),เคล็ดลับ: ออกแบบข้อมูลของคุณอย่างระมัดระวัง จะช่วยเพิ่มเสน่ห์ส่วนตัวของคุณ,Consejos: Diseña su información con cuidado ayudará a aumentar su encanto personal.;),टिप्पणीयाँ:अपने प्रोफाइल को ध्यान से बनाएं जिससे आपका आकर्षण बढ़ सके ;),Lời khuyên: thiết kế hồ sơ cá nhân của bạn một cách cẩn thận có thể giúp tăng sự quyến rũ cá nhân;),اشارے ： اپنے پروفائل کو محتا ط طریقے سے ڈیزائن کرنا آپ کی توجہ کو بڑھانے میں معاون ثابت ہوسکتا ہے؛)
,利用这个机会拓展你的社交圈!,Take the chance to expand your social network!,اغتنم الفرصة لتوسيع شبكتك الاجتماعية!,Sosyal ağınızı genişletme şansını kaçırmayın!,Ambil kesempatan untuk memperluas jejaring sosial Anda!,С помощью этой возможности расширить твой социальный круг!  ,이 찬스 이용해 당신의 사교폭 넓히기!,Aproveite a chance para expandir sua rede social!,ถือโอกาสนี้เพื่อขยายโซเชียลของคุณ,¡Aprovecha esta oportunidad para expandir tu círculo social!,अपने सोशल नेटवर्क का विस्तार करने का मौका लें!,Mở rộng vòng giao tiếp của bạn theo cơ hội này!,اپنے سوشل نیٹ ورک کو بڑھانے کیلیٗے اس چانس سے فایٗدہ اٹھایٗیں!
,视频聊天能够提高你的社交能力,Video calls can help to improve your social skills.,يمكن أن تساعد مكالمات الفيديو في تحسين مهاراتك الاجتماعية.,Görüntülü aramalar sosyal becerilerinizi geliştirmenizi yardımcı olabilir.,Panggilan video dapat membantu meningkatkan keterampilan sosial Anda,Видеочат может повысить твое умение контактировать с людьми. ,영상 통화는 당신의 사교성을 높일수 있음,As videochamadas podem ajudar a melhorar suas habilidades sociais.,วิดีโอคอลสามารถพัฒนาทักษะโซเชียลของคุณ,La videollamada puede mejorar tus habilidades sociales.,वीडियो कॉल आपके सोशल कौशल को बेहतर बनाने में मदद कर सकते हैं।,Trò chuyện video có thể nâng cao sức giao tiếp của bạn,ویڈیو کالز آپ کی سوشل صلاحیتوں کو بہتر بنانے میں معاون ثابت ہوسکتی ہیں۔
,我们都有和建立连接和归属感的需要。,We all have a strong need for connectivity and belonging.,لدينا جميعًا حاجة قوية للتواصل والانتماء.,Hepimiz iletişim kurmaya ve ait olma hissine güçlü bir istek duyuyoruz.,Kita semua sangat membutuhkan konektivitas dan milik,Мы все требуем контакта и чувства принадлежности.,우리는 모두 연결과 소속감을 가져야 할 필요가 있음.,Todos nós temos uma forte necessidade de conectividade e pertencimento.,เราทุกคนมีความต้องการในการเชื่อมต่อและเป็นกันเอง,Todos necesitamos establecer una conexión y un sentido de pertenencia.,हम सभी को जुड़े रहना और अपनेपन की बहुत आवश्यकता है।,Chúng tôi đều có yêu cầu về xây dựng kết nối và cảm giác thuộc về,ہم سب کو آپس میں روابط اور تعلقات کی سخت ضرورت ہے۔
,积极的社交互动能增加我们的幸福感哦,Positive social interactions increase our subjective well-being and provide greater life satisfaction,تزيد التفاعلات الاجتماعية الإيجابية من رفاهيتنا الذاتية وتوفر قدرًا أكبر من الرضا عن الحياة,Olumlu sosyal etkileşimler kendi mutluluğunuzu artırır ve hayatınızdan daha fazla memnun olmanızı sağlar.,Interaksi sosial yang positif meningkatkan kesejahteraan subjektif kita dan memberikan kepuasan hidup yang lebih besar,Активный разговор с людьми можно принести нам больше счастья.,긍정적인 상호 교류가 우리의 행복감을 높일 수 있음,Interação social positiva pode aumentar nossa felicidade.,ปฏิสัมพันธ์ทางสังคมในเชิงบวกสามารถเพิ่มความสุขของเรา,La interacción social positiva puede aumentar nuestra felicidad.,सकारात्मक सामाजिक संपर्क हमारे खुद के कल्याण को बढ़ाते हैं और जीवन की संतुष्टि प्रदान करते हैं,Tương tác xã hội tích cực làm tăng  sức hài lòng của chúng tôi đấy,فعال سماجی تعاون ہماری خوشیوں مین اضافہ کر تا ہے۔
, 与人交流是个建立好心情的好方法,Conversations provide great opportunities to increase positive emotions.,توفر المحادثات فرصًا كبيرة لزيادة المشاعر الإيجابية.,"Sohbetler, olumlu duyguları çoğaltmak için harika olanaklar sunar.",Percakapan memberikan peluang besar untuk meningkatkan emosi positif,Разговор с людьми является хорошим методом создания прекрасного настроения.,사람과 교류하는 것은 종은 기분 만드는 좋은 방법이다.,A comunicação com as pessoas é uma ótima maneira de criar um bom humor.,การสนทนากับผู้อื่นเป็นวิธีที่ดีในการสร้างอารมณ์ที่ดี,La comunicación con las personas es una excelente manera de crear un buen humor.,बातचीत सकारात्मक भावनाओं को बढ़ाने के लिए शानदार अवसर प्रदान करती है,Giao lưu với người ta là một biện pháp thật tốt để cho mình hài lòng,لوگوں سے گپ شپ کرنا  موڈ اچھا کرنے کا بہترین طریقہ ہے۔
,微笑在全世界都受欢迎!,A smile is the universal welcome!,الابتسامة هي ترحيب عالمي!,Gülümseme evrensel bir karşılamadır!,Senyum adalah sambutan universal!,Улыбка во всем мире пользуется популярностью! ,미소는 전세계에서 인기가 많다!,Sorrisos são populares em todo o mundo!,รอยยิ้มเป็นที่นิยมในทั่วโลก!,¡Las sonrisas son populares en todo el mundo!,एक मुस्कान सार्वत्रिक स्वागत है!,Một nụ cười là sự đón tiếp phổ quát toàn thế giới!,ایک چھوٹی سی مسکراہٹ ہر جگہ خوش آمدید ہے !
,记得保持礼貌和友善:-) ,Remember to be respectful and kind :-),تذكر أن تكون محترمًا ولطيفًا :-),Saygılı ve kibar olmayı unutma:-),Ingatlah untuk bersikap hormat dan baik,Поддерживайте вежливость и дружбу:-),매너와 친절을 기억하라:-),Lembre-se de ser educado e amigável:-),อย่าลืมเป็นให้เกียรติและสุภาพ :-),Recuerda ser cortés y amable :-),सम्मानजनक और दयालु होना न भुलें :-),Hãy nhớ giữ tôn trọng và tử tế:-）,یاد رکھیں ہمیشہ عزت کرنے والے اور مہربان رہیں :-)
,和TA分享一个和你有关的趣事吧,Share one of your fun facts with others,شارك واحدة من حقائقك الممتعة مع الآخرين,Hakkında eğlenceli bir bilgiyi diğerleriyle paylaş.,Bagikan salah satu fakta menyenangkan Anda dengan yang lain.,Делите с ним (ней) одно интересное дело про тебя!,그와 당신의 애피스드를 나누세요,Compartilhe seus fatos divertidos com outras pessoas,แชร์เรื่องที่สนุกของคุณกับเขาเถอะ,Comparte con él un hecho interesante sobre ti.,अपने बारे में एक मज़ेदार चीज़ को दूसरों के साथ साझा करें,Chia sẻ một điều thứ vị của bạn với người khác,اپنی ایک لطف اندوز بات کو دوسروں کے ساتھ اشتراک کریں
,咚咚，最近都在忙些什么呀？,"Knock knock,What have you been up to recently?",دق دق، ما الذي كنت تفعله مؤخرًا؟,"Tık tık, son zamanlarda ne yapıyorsun?","Ketuk ketukan, Apa yang Anda lakukan baru-baru ini?","Бум-бум, в последнее время чем занимаешься?","똑똑, 요즘 뭐해요? ","Oi, Oi, O que você tem feito recentemente?",ตอนนี้คุณกำลังทำอะไรอยู่นะ?,"Toc toc,¿Qué has hecho últimamente?","नॉक नॉक, क्या चल रहा हैं?","Tik tik, bạn đã làm gì gần đây?",ٹک ٹک، آجکل کن کاموں میں مصروف ہیں؟
,怎么用你的语言来打招呼呢？,How to say Hello in your language?,كيف تقول مرحبا بلغتك؟,Kendi dilinde nasıl Merhaba dersin?,Bagaimana mengatakan Halo saya dalam bahasa anda?,Как используя твой язык здороваться?,당신의 언어로 어떻게 인사하나요?,Como dizer Olá no seu idioma?,ใช้ภาษาของคุณจะทักทายยังไงนะ,¿Cómo decir hola en tu idioma?,अपनी भाषा में Hello कैसे कहें?,Cách nói xin chào bằng ngôn ngữ của bạn thế nào?,آپ اپنی زبان میں کس طرح ہیلو ہایٗے کرتے ہیں ؟
,你最近最喜欢的一首歌是？,What's your current favourite song?,ما هي أغنيتك المفضلة الحالية؟,Şu an en sevdiğin şarkı hangisi?,Apa lagu favorit Anda saat ini?,В последнее время какую песню ты любишь? ,요즘 제일 좋아하는 노래가 뭐예요?,Qual sua música favorita atual?,เพลงที่โปรดของคุณในปัจจุบันชื่ออะไรนะ,¿Cuál es tu canción favorita últimamente?,आपका वर्तमान पसंदीदा गाना कौन सा है?,Dạo này bài hát mà bạn thích nhất là gì?,آپ کا حالیہ پسندیدہ گانا کونسا ہے؟
,你有想过去其他国家生活吗？,Have you ever thought about moving to another country?,هل فكرت في الانتقال إلى بلد آخر؟,Hiç başka bir ülkeye yerleşmeyi düşündün mü?,Apakah Anda pernah berpikir untuk pindah ke negara lain?,Ли хочешь считать жить в другой стране? ,다른 나라 가서 사는 것 생각해본 적 있어요?,Você já pensou em mudar para outro país?,คุณเคยคิดบ้างไหมว่าจะย้ายไปอยู่ประเทศอื่นไหม,¿Quieres vivir en otros países?,क्या आपने कभी दूसरे देश में रहने के बारे में सोचा है?,Bạn đã nghĩ về việc chuyển sang  một đất nước khác bao giờ chưa?,کیا آپ نے کبھی کسی دوسرے ملک میں زندگی گزارنے کے بارے میں سوچا ہے؟
,真心话还是大冒险？,Truth or Dare?,صدق أو تحدي؟,Doğruluk mu Cesaret mi?,Kebenaran atau Berani?,Права или риск?,진실이냐 도전이냐?,Verdade ou desafio?,พูดความจริงหรือล้อเล่น?,¿Verdad o reto?,सच या चुनौती?,Nói thật hay thử thách?,سچائی یا ایڈونچر؟
,你喜欢吃甜的还是吃咸的？,"At snack time, does you prefer sweet or salty?",في وقت الوجبات الخفيفة ، هل تفضلها حلوى أم مالحة؟,Atıştırmalıklarını tatlı mı tuzlu mu seversin?,Pada waktu camilan. Apakah Anda lebih suka manis atau asin?,Ты любишь сладкий или кислый?,단 거 아니면 짠 거 뭐가 좋아해요?,Você gosta de doce ou salgado?,คุณชอบรสชาติหวานหรือเค็ม?,¿Te gusta lo dulce o salado?,"स्नैक का समय हैं, आप मीठा या नमकीन पसंद करते हैं?",Bạn thích ăn vị ngọt hay vị mặn?,  کیا آپ میٹھا کھانا پسند کرتے ہیں یا نمکین ؟
,你的主打歌是什么？:P,What's your theme song?:P,ما هي الأغنية الخاصة بك؟,Senin şarkın hangisi?:P,Apa lagu tema Anda? :P,Какая твоя любимая песня? :P,타이틀곡 뭐예요?:P,Qual é a sua canção tema? :p,เพลงที่บ่งบอกตัสควณคือเพลงอะไร?:P,¿Cuál es tu canción principal? :P,आपका थीम गाना कौन सा है? :P,Bài hát thích nhất của bạn là gì? :p,آپ کے تھیم کا گانا کونسا ہے؟:P
,你可以说多少种语言？:0,What languages do you speak? :0,ما اللغات التي تتحدثها؟ :0,Hangi dilleri konuşabiliyorsun? :0,Bahasa apa yang Anda pakai?  :0,Сколько языков ты умеешь? :0,몇 가지 언어 할 수 있어요?:0,Quantas línguas você pode falar? :0,คุณพูดได้กี่ภาษา?:0,¿Cuántos idiomas puedes hablar?  : 0,आप कौन सी भाषाएं बोलते हैं? :0,Bạn có thể nói bao nhiêu ngôn ngữ? :0,آپ کونسی زبان بولتے ہیں؟ :0
,你是喵星人还是汪星人？,Are you a dog person or a cat person?,هل تفضل الكلاب أم القطط؟,Kedileri mi köpekleri mi seversin?,Apakah Anda seorang anjing atau kucing?,Ты любишь кошку или собаку?,당신은 고양이 나라에서 왔니 아니면 개나라에서 왔니?,Você é um cachorro ou um gato?,คุณชอบหมาหรือแมว?,¿Eres team gato o team perro?,आपको कुत्ता या बिल्ली पसंद हैं?,Bạn là người sao kim hay người sao hỏa?,کیا آپ ایک ماوٗ سٹار ہیں یا وانگ سٹار ہیں 
,你最难忘的一次假期是怎样的呢,What’s the most memorable vacation you’ve ever taken?,ما هي أكثر عطلة قمت بها لا يمكنك نسيانها على الإطلاق؟,En unutulmaz tatilin hangisi?,Liburan apa yang paling berkesan yang pernah Anda lakukan?,У тебя есть незабываемые отпуски? ,당신이 가장 잊을 수 없는 휴가는 어떤 거였어요?,Quais são as suas férias mais memoráveis?,วันหยุดพักผ่อนที่ประทับใจที่สุดของคุณคืออะไร,¿Cuáles son tus vacaciones más memorables?,अभी तक आपकी सबसे यादगार छुट्टी कौन सा है,Kỳ nghỉ đáng nhớ nhất của bạn là thế nào?,آپ کی سب سے یادگار چھٹیاں کیسی تھیں؟
,你头像的照片是哪里拍的;D ？,Where did you take your profile photo;D?,أين التقطت صورة ملفك الشخصي ;D ؟,Profil fotoğrafını nerede çektin? ;D,Di mana Anda mengambil Anda foto Profil;D?,Где фотографировался твой аватар? ,프사 사진이 어디서 찍었어요;D ?,Onde você tirou sua foto de perfil? :D?,ภาพประจำตัวของคุณถ่ายที่ไหน;D ?,¿Dónde se tomó la foto de tu foto de perfil ; D?,आपने अपना प्रोफाइल तस्वीर कहां पर लिया था;D?,Ảnh đại diện của bạn chụp ở đâu;D?,آپ نے اپنی پروفائل فوٹو کہاں سے لی ہے؟ D
,你的昵称是有什么特殊含义吗？,Does your nickname has any special meaning?,هل اسم كنيتك له أي معنى خاص؟,Kullanıcı adının özel bir anlamı var mı?,Apakah Nama Panggilan Anda memiliki arti khusus?,Твой ник что означает? ,닉네임은 어떤 의미가 있어요?,Seu apelido tem algum significado especial?,ชื่อเล่นของคุณมีความหมายพิเศษไหม?,¿Tu sobrenombre tiene algún significado especial?,आपके उपनाम का कोई विशेष अर्थ है?,Tên của bạn có ý nghĩa đặc biệt không?,کیا آپ کے عرفی نام کا کوئی خاص معنی ہے؟
,你最喜欢的一部电影是？,So what is your favorite movie?,إذن ما هو الفيلم المفضل لديك؟,Favori filmin hangisi?,Jadi apa film favoritmu?,У тебя есть самый любимый кинофильм?,제일 좋아하는 영화가 뭐예요?,Qual é o seu filme favorito?,ภาพยนตร์เรื่องโปรดที่สุดของคุณคือเรื่องอะไร?,¿Cuál es tu película favorita?,तो आपकी पसंदीदा फिल्म कौन सी है?,Phim mà bạn thích nhất là gì?,تو آپ کی پسندیدہ فلم کونسی ہے؟
,让TA认识一下你有什么才艺吧!,Time to show your talent !,حان الوقت لإظهار موهبتك!,Yeteneğini gösterme zamanı!,Saatnya menunjukkan bakat Anda!,Пусть он (она) знакомится с твоим талантом и искусством!,당신에게 어떤 재주가 있는지 그를 알게 해죠!,É hora de mostrar seu talento!,ให้เขารู้ว่าคุณมีความสามารถพิเศษอะไรบ้าง,¡Déjale ver qué talento tienes!,अपनी जलवा दिखाने का समय हैं!,Thời gian để thể hiện tài năng của bạn!,ٹی اے کو اپنے ٹیلنٹ سے متعارف کرایٗیں!
,尝试让某个人因为你而感到心情愉快吧,Try to make someone’s day today!,حاول أن تبهج شخص ما اليوم!,Bugün birini mutlu etmeyi dene!,Cobalah untuk membuat hari seseorang hari ini!,Пробуйте приносить кому-то радость! ,누군가 당신 때문에 기분 좋게 해보세요.,Tente fazer alguém se sentir feliz por sua causa!,ลองทำให้บางคนรู้สึกมีความสุขเพราะคุณ,Intenta hacer que alguien se sienta feliz por ti.,आज किसी का दिन बनाने की कोशिश करें,Hãy thử cho một người nào vì bạn thấy hài lòng nhá,کسی کو اپنے بارے میں اچھا محسوس کرانے کی کوشش کریں
,尽量不要错过任何认识新朋友的机会!,Try not to miss any chance to meet with a new friend!,حاول ألا تفوت أي فرصة للقاء صديق جديد!,Yeni bir arkadaşla tanışma şansını kaçırma!,Cobalah untuk tidak ketinggalan kesempatan untuk bertemu dengan teman baru!,Лучше не пропустить возможность для знакомства с новыми друзьями! ,가능한 한 새로운 친구를 만날 수 있는 어떠한 기회도 놓치지 마세요!,Tente não perder nenhuma chance de conhecer novos amigos!,พยายามอย่าพลาดโอกาสที่จะพบเพื่อนใหม่!,¡Intenta no perder la oportunidad de conocer nuevos amigos!,किसी नए दोस्त से मिलने का कोई मौका न चूकने की कोशिश करें!,Cố gắng không bỏ lỡ bất kỳ cơ hội nào để gặp một người bạn mới!,کسی نئے دوست سے ملنے کا کوئی موقع ضائع نہ ہونے کی کوشش کریں!
,在Hilo开始发现世界!,Start your global exploration in Hilo!,ابدأ استكشافك العالمي في Hilo!,Hilo ile dünyayı keşfe çık!,Mulai eksplorasi global Anda di Hilo!,В платформе Hilo обнаруживайте новый мир!,Hilo에서 세계를 발견하라!,Comece a descobrir o mundo em Hilo!,พบโลกใหม่ใน Hilo!,¡Comienza a descubrir el mundo en Hilo!,Hilo में अपनी वैश्विक खोज शुरू करें!,Phát hiện thế giới mới trong Hilo!,ہیلو میں اپنی عالمی تلاش شروع کریں!
,只要你享受这段时光，那就是有意义的,"Time you enjoy wasting, was not wasted.",الوقت الذى إستمتعت بإضاعته لم يضع.,Eğlenerek geçirdiğiniz vakit harcanmış sayılmaz.,Waktu yang Anda nikmati terbuang sia-sia,"Если здесь ты получил (ла) радость, то это имеет значение. ","당신이 이 시간을 즐기는 한, 그것은 의미가 있는 것이다.","Contanto que você goze esse tempo, é significativo.",หากคุณสนุกกับเวลาที่นี่ มันก็มีความหมายอยู่แล้ว,"Mientras disfrutes este tiempo, es significativo.","जो समय आपने मनोरंजन के लिए बिताते है, वह समय की बर्बाद नहीं होते है","Chỉ muốn bạn thưởng thức thời gian, vậy thì có ý nghĩa",جب تک کہ آپ اس وقت سے لطف اندوز ہوتے ہیں تو یہ معنی خیز ہے۔
,没有什么是永恒的，但至少我们拥有这段回忆,"Nothing lasts forever, but at least we’ve got these memories.",لا شيء يدوم إلى الأبد ، ولكن على الأقل لقد حصلنا على هذه الذكريات.,"Hiçbir şey sonsuza dek sürmüyor, ama en azından anılarımız var.",Tidak ada yang bertahan selamanya. Tapi setidaknya kita punya ingatan ini.,"Нету вечности, но мы имеем это воспоминание.",영원한 건 없지만 적어도 우린 그런 추억은 가지고 있다.,"Nada dura para sempre, mas pelo menos temos essas memórias.",ไม่มีอะไรที่เป็นนิรันดร์ แต่อย่างน้อยเราก็มีความทรงจำนี้,"Nada es eterno, pero al menos tenemos este recuerdo.","हमेशा के लिए कुछ भी नहीं रहता है, लेकिन कम से कम हमारे यादों मे रह जाती हैं","Không có gì tồn tại mãi mãi, nhưng ít nhất chúng ta đã có những ký ức này.",کویٰی بھی چیز ہمیشہ رہنے والی نہیں لیکن یہ ہماری یاداشت کا حصہ بنتی ہے
,正是和人的相遇让生活多了一些意义 ;),It is the encounters with people that make life worth living ;）,اللقاءات مع الناس هي التي تجعل الحياة تستحق العيش ;),Hayatı yaşamaya değer kılan şey insanlarla tanışmak ;）,Pertemuan dengan orang-orang yang menjadikan hidup layak untuk hidup;）,Именно встреча делает жизнь больше значимой;),사람과의 만남이 삶의 보람을 더해준다.,Encontros com pessoas dão mais sentido à vida :),การเผชิญหน้ากับผู้คน ซึ่งทำให้ชีวิตมีความหมายมากขึ้น;),Es el encuentro con las personas lo que hace la vida más significativa. ;),लोगों के साथ मिलना ही वो चीजें है जो जीवन को जीने लायक बनाते हैं ;),Chính là cuộc gặp gỡ với những người làm cho cuộc sống thêm ý nghĩa;),لوگوں سے ملنا زندگی میں رنگ لاتا ہے ;）
,见到你，我满心喜悦。,My heart is overflowing with joy to meet you.,قلبي يفيض بالفرح لمقابلتك.,Seninle tanıştığım için sevinç doluyum.,Hatiku dipenuhi dengan sukacita untuk bertemu denganmu.,"Увидел (ла) тебя, я очень рад (да). ","너를 만난 건, 내 마음이 기쁨으로 가득 차 있다.",Estou cheio de alegria em vê-lo.,หัวใจฉันเต็มไปด้วยความสุขที่ได้พบคุณ,Estoy lleno de alegría de verte.,मेरा दिल आपसे मिलने के लिए खुशी से भर गया है।,Trái tim tôi tràn ngập niềm vui được gặp bạn.,آپ کو دیکھنے کے بعد میرا دل خوشی سے لبریز ہوگیا ہے۔
,欢迎来到Hilo!,Welcome to Hilo! ,مرحبًا بك في Hilo! ,Hilo'ya hoş geldin! ,Selamat datang di Hilo! ,Добро пожаловать в Hilo!,Hilo에 오신 것을 환영합니다! ,Bem-vindo ao Hilo! ,ยินดีต้อนรับสู่ Hilo!,¡Bienvenido a Hilo! ,Hilo में आपका स्वागत है! ,Chào mừng bạn đến với Hilo! ,Hilo میں خوش آمدید! 
1,在这里你可以通过15秒随机面对面视频认识新的朋友，喜欢加时，不喜欢PASS!我们非常注重社区的安全，任何包含违法、低俗、暴力、欺诈等不良行为，将会被封号处理。请保持友善、尊重，在Hilo玩的开心!,"Here you can meet new friends through 15-second random face-to-face video.Like it?Add more time!No interest?PASS! We pay great attention to the safety of the community. Any illegal, vulgar, violence, fraud and other bad behaviors will be blocked. Please be friendly, respectful and have fun in Hilo!",هنا يمكنك التعرف على أصدقاء جدد من خلال فيديو عشوائي وجها لوجه لمدة 15 ثانية. هل أحببت ذلك؟ إذا أضف المزيد من الوقت! نحن نولي اهتماما كبيرا لسلامة المجتمع. سيتم حظر أي سلوكيات غير قانونية أو مبتذلة أو سلوكيات عنف أو احتيال وغيرها من السلوكيات السيئة. يرجى أن تكون ودودًا ومحترمًا وتستمتع في Hilo!,"Burada 15 saniyelik rastgele ve yüz yüze görüntülü sohbet aracılığıyla yeni arkadaşlar edinebilirsin. Hoşuna gitti mi? Zamanı artır! İlgini çekmedi mi? GEÇ! Topluluğun güvenliğine büyük özen gösteriyoruz. Yasa dışı, müstehcen, şiddet ve dolandırıcılık içeren eylemlerde ve diğer uygunsuz davranışlarda bulunan kullanıcılar engellenir. Lütfen arkadaşça ve saygılı davran. Hilo'da iyi eğlenceler!","Di sini Anda dapat bertemu teman baru melalui video tatap muka acak 15 detik. Suka itu?
Tambahkan lebih banyak waktu! Tidak tertarik? LULUS! Kami sangat memperhatikan keamanan komunitas.Setiap ilegal, vulgar, kekerasan, penipuan dan perilaku buruk lainnya akan diblokir. Harap ramah, sopan, dan bersenang-senang di Hilo!"," Здесь вы можете познакомиться с новыми друзьями с помощью 15-секундного случайного личного видео. Понравилось? Добавьте больше времени! Нет интереса? ПРОЙДИТЕ! Мы уделяем большое внимание безопасности сообщества. Любое незаконное, вульгарное, насилие, мошенничество и другие виды плохого поведения будут заблокированы. Пожалуйста, будьте дружелюбны, уважительны и получайте удовольствие в Hilo!","여기서 15 초간의 무작위 대면 영상을 통해 새로운 친구를 만날 수 있습니다. 우리는 지역 사회의 안전에 큰 관심을 기울입니다. 불법, 저속, 폭력, 사기 및 기타 나쁜 행동은 차단됩니다. 친절하고 존중하며 Hilo에서 즐거운 시간을 보내십시오!","Aqui, você pode fazer novos amigos por meio de um vídeo cara a cara aleatório de 15 segundos. Gostou? Adicione mais tempo! Sem interesse? PASSAR! Prestamos muita atenção à segurança da comunidade. Qualquer comportamento ilegal, vulgar, violência, fraude e outros comportamentos inadequados serão bloqueados. Por favor, seja amigável, respeitoso e divirta-se no Hilo!", ที่นี่คุณสามารถพบเพื่อนใหม่ผ่านวิดีโอตัวต่อตัวแบบสุ่ม 15 วินาทีชอบไหมเพิ่มเวลาอีกไม่สนใจผ่าน! เราให้ความสำคัญกับความปลอดภัยของชุมชนเป็นอย่างมาก สิ่งผิดกฎหมายหยาบคายความรุนแรงการฉ้อโกงและพฤติกรรมที่ไม่ดีอื่น ๆ จะถูกปิดกั้น โปรดเป็นมิตรเคารพและสนุกสนานใน Hilo!,"Aquí puedes conocer nuevos amigos a través de un video cara a cara aleatorio de 15 segundos. ¿Te gusta? ¡Agrega más tiempo! ¿Sin interés? ¡PASE! Prestamos gran atención a la seguridad de la comunidad. Cualquier conducta ilegal, vulgar, violenta, fraudulenta y de otro tipo será bloqueada. ¡Sea amable, respetuoso y diviértase en Hilo!","यहां आप 15-सेकंड रैंडम फेस-टू-फेस वीडियो के माध्यम से नए दोस्तों से मिल सकते हैं। इसे पसंद करें! अधिक समय जोड़ें! हम समुदाय की सुरक्षा पर बहुत ध्यान देते हैं। किसी भी अवैध, अशिष्ट, हिंसा, धोखाधड़ी और अन्य बुरे व्यवहार को अवरुद्ध किया जाएगा। कृपया Hilo में अनुकूल, सम्मानजनक और मज़ेदार बनें!","Tại đây, bạn có thể gặp gỡ những người bạn mới thông qua video mặt đối mặt ngẫu nhiên dài 15 giây. Thích không? Thêm thời gian! Không quan tâm? PASS! Chúng tôi rất chú trọng đến sự an toàn của cộng đồng. Mọi hành vi bất hợp pháp, thô tục, bạo lực, gian lận và các hành vi xấu khác sẽ bị chặn. Hãy thân thiện, tôn trọng và vui vẻ trong Hilo!",یہاں آپ 15 سیکنڈ کے بے ترتیب آمنے سامنے ویڈیو کے ذریعے نئے دوستوں سے مل سکتے ہیں۔ پسند کریں؟ زیادہ وقت شامل کریں! کوئی دلچسپی نہیں؟ پاس! ہم برادری کی حفاظت پر بہت زیادہ توجہ دیتے ہیں۔ کسی بھی غیر قانونی ، فحش ، تشدد ، دھوکہ دہی اور دیگر برے سلوک کو مسدود کردیا جائے گا۔ براہ کرم دوستانہ ، قابل احترام اور Hilo میں لطف اٹھائیں!
2,该设备不支持相册,The device does not support photo albums,الجهاز لا يدعم ألبومات الصور,Aygıt fotoğraf albümlerini desteklemiyor.,Perangkat tidak mendukung album foto.,Это устройство не поддерживает фотоальбомы,이 장치는 사진 앨범을 지원하지 않습니다,Este dispositivo não suporta álbuns de fotos,อุปกรณ์นี้ไม่รองรับอัลบั้มรูปภาพ,Este dispositivo no admite álbumes de fotos,यह डिवाइस फोटो एल्बम का समर्थन नहीं करता है,Thiết bị này không hỗ trợ album ảnh,یہ آلہ فوٹو البمز کی حمایت نہیں کرتا ہے
3,该设备不支持相机,The device does not support cameras,الجهاز لا يدعم الكاميرات,Aygıt kamerayı desteklemiyor.,Perangkat tidak mendukung kamera.,Устройство не поддерживает камеру,장치가 카메라를 지원하지 않습니다,O dispositivo não suporta a câmera,อุปกรณ์ไม่รองรับกล้อง,El dispositivo no es compatible con la cámara,डिवाइस कैमरे का समर्थन नहीं करता है,Thiết bị không hỗ trợ máy ảnh,ڈیوائس کیمرے کی حمایت نہیں کرتا ہے
4,无法使用相机,Can not use camera,لا يمكن استخدام الكاميرا,Kamera kullanılamıyor.,Tidak bisa menggunakan kamera,Невозможно использовать камеру,카메라를 사용할 수 없습니다,Não consigo usar a câmera,ไม่สามารถใช้กล้องถ่ายรูป,No puedo usar la cámara,कैमरा का उपयोग नहीं कर सकते,Không thể sử dụng máy ảnh,کیمرا استعمال نہیں کرسکتا
5,请在设置-隐私-相机中允许访问相机,Please allow access to the camera in Settings-Privacy-Camera,يرجى السماح بالوصول إلى الكاميرا في إعدادات خصوصية الكاميرا,Lütfen Ayarlar-Gizlilik-Kamera'dan erişime izin verin.,Tolong izinkan akses ke kamera di Pengaturan-Privasi-Kamera,Разрешите доступ к камере в Настройки-Конфиденциальность-Камера,Settings-Privacy-Camera에서 카메라에 대한 액세스를 허용하십시오.,Permita o acesso à câmera em Configurações-Privacidade-Câmera,โปรดอนุญาตการเข้าถึงกล้องในการตั้งค่า - ความเป็นส่วนตัว - กล้อง,Permita el acceso a la cámara en Configuración-Privacidad-Cámara,कृपया सेटिंग-गोपनीयता-कैमरा में कैमरे तक पहुंच की अनुमति दें,Vui lòng cho phép truy cập vào máy ảnh trong Cài đặt-Quyền riêng tư-Máy ảnh,براہ کرم سیٹنگز - پرائیویسی کیمرا میں کیمرے تک رسائی کی اجازت دیں
6,空空如也,Empty,فارغة,Boş ,Kosong ,пустой,빈,vago,ว่างเปล่า,vacuo,खाली,Trống,خالی
